Cow banana,02 2234 0101,台北市文山區萬壽路5號,09:00–22:00,121.5758145,24.98795292
Joline,02 2938 2727,台北市文山區指南路二段119巷1號,08:00–23:00,121.5765533,24.98782928
5 cafe,02 2938 5798,台北市文山區指南路二段119巷16號,11:00–21:00、週六公休,121.5765251,24.98811458
大元小安咖啡店,0960 775 937,台北市文山區指南路2段119巷10號,08:30–20:30,121.5765879,24.9878683
谷庄茶奶,02 2939 6193,台北市文山區指南路二段119巷2號,11:15–14:00  17:00–19:30,121.5765863,24.98775791
政大茶亭,02 8661 0884,台北市指南路二段119巷2號,09:30–21:00,121.576637,24.98760955
政大茶亭,02 8661 0884,台北市文山區指南路二段12號,09:30–21:00,121.574301,24.98785152
Comebuy,02 2939 2010,台北市文山區指南路二段61號,10:00–23:00,121.5746602,24.98790959
50嵐,02 8661 7571,台北市文山區指南路二段63號,,121.5747074,24.98790495
統一星巴克 政大門市,02 8661 6613,台北市文山區指南路二段105號,08:00–22:15,121.5756411,24.98775257
清玉,02 2234 6646,台北市文山區指南路二段36號,,121.5750521,24.98774978
泡沫紅茶,,,,121.5749003,24.9877714
道南館,02 8661 5815,台北市文山區新光路一段八號,13:00–21:00,121.574435,24.98787113
here cafe,02 8661 0118,台北市文山區新光路一段12號,,121.574356,24.9878531
咖啡大亨磨坊,02 2939 5081,台北市文山區指南路二段45巷1號,8:00–21:30,121.5742627,24.9880726
LOUISA COFFEE,02 2234 3880,,,121.5757938,24.98793447
PROWIN PARIS CAFE,02 2936 5237,台北市文山區指南路二段25號,08:30–21:00,121.5737442,24.98814131
龍角咖啡Dragon coffee,02 8661 7729,台北市文山區指南路二段33號,11:00– 22:00,121.5739239,24.98806641
小貓咪,02 2253 7228,台北市文山區萬壽路9號,05:00–12:00,121.5758792,24.98801997
口福豆漿店,02 2937 9327,台北市文山區萬壽路21號,週二到日 06:00–23:00；週一公休,121.5760995,24.98824188
傳香飯糰,0910 370 560,台北市文山區萬壽路8號,08:00–14:00,121.5761269,24.9880699
古早味豆漿店,0935 163 272,台北市文山區萬壽路14號,週一到六 06:00–11:00；週日公休,121.5762781,24.98820845
美味派,02 2936 1294,台北市文山區指南路2段44號,,121.5752368,24.98772131
德合香早餐店,0988 034 679,台北市文山區指南路二段58號,,121.5755102,24.98765844
